Código ID,Data ,Coordenada,Família,Gênero,Espécie,Nome popular,Classificação,Altura (m),Cap (cm),Dap (cm),Flor,Fruto,Tronco,Observação,Coletada
4/15,03/10/2024,,Fabaceae,machaerium,machaerium sp.,,,15,81,26,sim,não ,casca fissurada,,
4/16,10/10/2024,-,Fabaceae ,Leucaena ,Leucaena leucocephala (Lam.) de Wit,Leucena ,naturalizada ,13,113,36,sim,sim,,,
4/17,10/10/2024,-,Cordiaceae,Cordia,Cordia myxa L.,ameixa assíria,cultivada,13,141,45,não,sim,,,Sim
4/18,10/10/2024,-,Sapindaceae,Sapindus,Sapindus saponaria L.,Saboneteira,nativa,10,61,19,não,sim,,,
4/19,10/10/2024,-,Sapindaceae,Sapindus,Sapindus saponaria L.,Saboneteira,nativa,11,70,22,não,sim,,,
4/20,10/10/2024,-,Sapindaceae,Sapindus,Sapindus saponaria L.,Saboneteira,nativa,11,80,25,não,sim,,,
4/21,10/10/2024,,,,indefinido,,,12,152,48,sim,não,,,
4/22,10/10/2024,-,Myrtaceae,Syzygium,Syzygium cumini (L.) Skeels,jamelão,naturalizada ,13,147,47,não,sim,,,
4/23,10/10/2024,-,Myrtaceae,Syzygium,Syzygium cumini (L.) Skeels,jamelão,naturalizada ,15,145,46,não,sim,,,
4/24,10/10/2024,-,,,indefinido,,,12,56,18,sim,não,casca fissurada,,
4/25,10/10/2024,-,Malvaceae ,Guazuma,Guazuma ulmifolia Lam.,mutamba,nativa,9,54,17,não,sim,,,
4/26,10/10/2024,-,Fabaceae,Bauhinia,Bauhinia cf. variegata L.,casco de vaca lilás,exótica,6,52,17,sim,não,,,
4/27,10/10/2024,-,Fabaceae,Enterolobium,Enterolobium sp. ,tamboril ,,,183,58,não,sim,,,
4/28,19/12/2024,-,Fabaceae,Calliandra ,Calliandra brevipes,calliandra rosa,nativa,5,31,10,sim,não,,,
4/29,19/12/2024,-,Fabaceae,Calliandra ,Calliandra brevipes,calliandra rosa,nativa,6,24,8,sim,não,,,
4/30,19/12/2024,-,Fabaceae,Calliandra ,Calliandra brevipes,calliandra rosa,nativa,6,24,8,sim,não,,,
4/31,19/12/2024,-,Fabaceae,Tamarindus,tamarindus indica,tamarindo,exótica ,,,0,sim,não ,,,
4/32,19/12/2024,,Anacardiaceae,Mangifera ,Mangifera indica L.,mangueira ,exótica ,5,20,6,,,,,Sim
4/33,19/12/2024,-,Muntingiaceae,Muntingia,Muntingia calabura L.,calabura,nativa,5,30,10,sim,não ,,,
4/34,19/12/2024,-,Lythraceae,Lagerstroemia,Lagerstroemia speciosa,resedá gigante,exótica,6,28,9,não ,sim,,,
4/35,19/12/2024,-,Lythraceae,Lagerstroemia,Lagerstroemia speciosa,resedá gigante,exótica,"8,5",49,16,não ,sim,,,
4/36,14/1/2025,-,Sapindaceae,Sapindus,Sapindus saponaria L.,saboneteira,nativa,10,74,24,,,,,
4/37,14/1/2025,-,Moraceae,Morus ,Morus nigra L.,amora,cultivada,9,41,13,,,,,
